index,lat,lng,City
Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,Boston
Boynton Yards at 101 South Street,42.37546,-71.091217,Somerville
Bremen St at Marion St,42.37410622047334,-71.03276252757496,Boston
Bridge Street Neck,42.52810051875824,-70.88971138000488,Salem
Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,Boston
Brighton Ave at Linden St,42.3528376,-71.1296752,Boston
Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,Boston
Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,Boston
Broad Canal Way at Third Street,42.36303742863348,-71.08295146008436,Cambridge
Broad St at Central St,42.35849449039304,-71.05426469875965,Boston
Broadway Opposite Norwood Ave  (Temp Winter Station),42.396764,-71.102376,Somerville
Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,Somerville
Broadway T Stop,42.343048583900966,-71.05803430091328,Boston
Broadway at Beacham St,42.39843773160416,-71.06368074957359,Everett
Broadway at Central St,42.39517150121575,-71.09850591982195,Somerville
Broadway at Gerrish Ave,42.39453079292221,-71.03085594484583,Chelsea
Broadway at Grafton St,42.40994213011757,-71.14009319811885,Arlington
Broadway at Kittie Knox Bike Path,42.36412658996667,-71.0873863200095,Cambridge
Broadway at Lynde St,42.39631964873847,-71.0657506005277,Everett
Broadway at Maple St,42.41036417288392,-71.05258984476319,Everett
Brookline Town Hall,42.33376472623494,-71.12046446660315,Brookline
Brookline Village - Pearl Street at MBTA,42.332799,-71.116205,Brookline
Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,Brookline
Bunker Hill Community College,42.37408991426522,-71.06905996799469,Boston
Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston
Butler T Stop,42.2725522715,-71.06293973000001,Boston
California at Chapel,42.365148708129546,-71.20236039161682,Newton
Cambridge Crossing at North First Street,42.371141,-71.076198,Cambridge
Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,Cambridge
Cambridge Main Library at Broadway / Trowbridge St,42.3734247725,-71.111105897,Cambridge
Cambridge St - at Columbia St / Webster Ave,42.3730062685,-71.0944128085,Cambridge
Cambridge St at Joy St,42.36126626573268,-71.06532917900762,Boston
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.367074071490926,-71.07679277658461,Cambridge
Canal St at Causeway St,42.36530094929082,-71.06092190993877,Boston
Canal St. at Causeway St.,42.359322,-71.067811,Boston
Carr Park,42.434365,-71.094755,Medford
Cary Square,42.39807664529123,-71.0306265247725,Chelsea
Cedar Grove T Stop,42.27960759693163,-71.06022119527552,Boston
Central Ave at River St,42.270907328146144,-71.07337235102558,Boston
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge
Central Square East Boston,42.37544912547037,-71.03918548682486,Boston
Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge
Centre St at Allandale St,42.300806,-71.11570891001975,Boston
Centre St at Commonwealth Ave,42.3362358,-71.1934421,Newton
Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,Boston
Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston
